transaction_id,customer_id,product_id,transaction_date,quantity,total_amount
1,886,68,2022-03-26,1,141.61
2,538,78,2024-10-16,1,14.06
3,552,44,2022-05-20,5,542.75
4,792,29,2022-02-06,1,331.05
5,875,10,2024-12-21,5,124.45
6,577,12,2024-05-03,2,955.48
7,750,26,2022-10-31,2,307.7
8,274,80,2023-06-18,3,534.6
9,500,95,2022-03-12,1,339.29
10,34,58,2024-04-13,5,2248.25
11,217,9,2022-06-21,1,400.33
12,352,52,2025-01-02,5,1719.0
13,207,69,2022-11-15,1,135.43
14,799,20,2022-07-16,1,316.57
15,118,16,2022-10-17,1,186.66
16,682,85,2024-04-10,4,205.28
17,874,85,2022-06-24,1,51.32
18,927,32,2023-09-15,2,123.18
19,341,17,2023-02-01,3,403.92
20,482,90,2023-08-04,4,239.92
21,208,19,2023-03-24,2,122.68
22,293,61,2024-01-25,5,544.5
23,142,78,2023-10-30,3,42.18
24,836,59,2023-01-22,2,630.76
25,771,42,2024-09-23,5,1919.8
26,487,40,2024-04-04,1,296.05
27,633,89,2024-03-28,2,581.76
28,108,74,2023-07-23,5,2246.75
29,157,82,2023-01-31,1,413.3
30,240,22,2022-05-28,2,119.16
31,408,75,2022-12-27,3,1179.06
32,304,79,2024-12-21,3,985.59
33,162,40,2024-03-02,5,1480.25
34,889,87,2023-11-12,1,298.5
35,973,51,2023-10-11,5,1892.25
36,361,36,2023-06-25,4,1565.48
37,944,57,2024-11-21,3,394.32
38,293,93,2023-07-18,3,735.66
39,269,30,2022-11-08,2,653.02
40,196,8,2023-07-10,2,892.3
41,137,72,2022-12-06,1,76.58
42,768,1,2024-01-14,3,1310.88
43,549,96,2023-01-31,2,479.06
44,74,16,2022-05-28,3,559.98
45,127,44,2022-11-30,1,108.55
46,887,17,2023-04-30,5,673.2
47,274,85,2023-02-08,3,153.96
48,112,54,2022-02-02,4,832.32
49,954,9,2024-06-26,1,400.33
50,80,84,2022-08-23,4,49.04
51,543,68,2023-03-14,1,141.61
52,950,13,2023-06-21,4,1208.08
53,244,77,2023-12-21,3,204.54
54,920,54,2023-07-13,2,416.16
55,464,90,2023-01-01,5,299.9
56,188,34,2024-11-12,3,36.45
57,633,17,2023-12-20,1,134.64
58,297,14,2023-04-15,2,482.34
59,124,75,2022-12-22,3,1179.06
60,385,62,2024-07-21,1,350.51
61,703,46,2024-06-02,4,1525.6
62,933,72,2023-01-27,3,229.74
63,715,17,2024-04-06,3,403.92
64,256,18,2022-05-17,1,179.22
65,408,89,2023-10-01,2,581.76
66,136,52,2024-07-04,3,1031.4
67,659,91,2023-01-04,3,384.81
68,672,50,2024-06-21,1,198.56
69,189,36,2022-05-30,2,782.74
70,803,74,2024-12-20,3,1348.05
71,698,72,2023-01-19,5,382.9
72,608,97,2024-09-29,3,975.18
73,681,24,2022-02-17,1,124.56
74,800,28,2024-06-01,5,365.9
75,971,10,2024-04-23,1,24.89
76,579,80,2023-10-18,3,534.6
77,979,64,2023-10-19,2,891.86
78,490,3,2022-10-22,2,944.9
79,960,37,2023-03-03,2,567.2
80,630,38,2023-05-16,1,425.96
81,384,14,2023-12-08,3,723.51
82,104,22,2023-08-15,2,119.16
83,480,89,2024-05-25,3,872.64
84,765,77,2022-02-20,3,204.54
85,242,67,2022-06-11,5,1328.85
86,29,79,2022-03-07,5,1642.65
87,571,90,2024-03-09,4,239.92
88,620,98,2024-01-13,4,1855.56
89,856,93,2022-12-08,5,1226.1
90,486,43,2023-05-08,1,351.98
91,979,3,2022-07-09,1,472.45
92,155,12,2024-10-10,3,1433.22
93,902,98,2022-12-11,3,1391.67
